node,page_rank,degree_centrality,closeness_centrality,betweens_centrality
0,0.08916731763763511,0.48484848484848486,0.08916731763763511,0.48484848484848486
1,0.049026212261692695,0.2727272727272727,0.049026212261692695,0.2727272727272727
2,0.051495030139236814,0.30303030303030304,0.051495030139236814,0.30303030303030304
3,0.03412343512571233,0.18181818181818182,0.03412343512571233,0.18181818181818182
4,0.02351853957536034,0.09090909090909091,0.02351853957536034,0.09090909090909091
5,0.030321209139255623,0.12121212121212122,0.030321209139255623,0.12121212121212122
6,0.030321209139255623,0.12121212121212122,0.030321209139255623,0.12121212121212122
7,0.024123175849582283,0.12121212121212122,0.024123175849582283,0.12121212121212122
8,0.02829398596158135,0.15151515151515152,0.02829398596158135,0.15151515151515152
10,0.02351853957536034,0.09090909090909091,0.02351853957536034,0.09090909090909091
11,0.012724493489067533,0.030303030303030304,0.012724493489067533,0.030303030303030304
12,0.01670554400614862,0.06060606060606061,0.01670554400614862,0.06060606060606061
13,0.027946064282679123,0.15151515151515152,0.027946064282679123,0.15151515151515152
17,0.016537506592275174,0.06060606060606061,0.016537506592275174,0.06060606060606061
19,0.020360395025372013,0.09090909090909091,0.020360395025372013,0.09090909090909091
21,0.016537506592275174,0.06060606060606061,0.016537506592275174,0.06060606060606061
31,0.0358225135916784,0.18181818181818182,0.0358225135916784,0.18181818181818182
30,0.024308539757254527,0.12121212121212122,0.024308539757254527,0.12121212121212122
9,0.016251036585087572,0.06060606060606061,0.016251036585087572,0.06060606060606061
27,0.025930506989040397,0.12121212121212122,0.025930506989040397,0.12121212121212122
28,0.02043049629950192,0.09090909090909091,0.02043049629950192,0.09090909090909091
32,0.06665308100771224,0.36363636363636365,0.06665308100771224,0.36363636363636365
16,0.019436150332581337,0.06060606060606061,0.019436150332581337,0.06060606060606061
33,0.0928479984663389,0.5151515151515151,0.0928479984663389,0.5151515151515151
14,0.01653424353220525,0.06060606060606061,0.01653424353220525,0.06060606060606061
15,0.01653424353220525,0.06060606060606061,0.01653424353220525,0.06060606060606061
18,0.01653424353220525,0.06060606060606061,0.01653424353220525,0.06060606060606061
20,0.01653424353220525,0.06060606060606061,0.01653424353220525,0.06060606060606061
22,0.01653424353220525,0.06060606060606061,0.01653424353220525,0.06060606060606061
23,0.031083375902769668,0.15151515151515152,0.031083375902769668,0.15151515151515152
25,0.02268245953013188,0.09090909090909091,0.02268245953013188,0.09090909090909091
29,0.026963920142781657,0.12121212121212122,0.026963920142781657,0.12121212121212122
24,0.02283335502159134,0.09090909090909091,0.02283335502159134,0.09090909090909091
26,0.01736518432001368,0.06060606060606061,0.01736518432001368,0.06060606060606061
