node,page_rank,degree_centrality,closeness_centrality,betweens_centrality
0,0.08273439568191411,0.48484848484848486,0.08273439568191411,0.48484848484848486
1,0.05266032638368658,0.2727272727272727,0.05266032638368658,0.2727272727272727
2,0.05552599597932045,0.30303030303030304,0.05552599597932045,0.30303030303030304
3,0.035811144419423124,0.18181818181818182,0.035811144419423124,0.18181818181818182
4,0.02235005890141773,0.09090909090909091,0.02235005890141773,0.09090909090909091
5,0.03424475851664473,0.12121212121212122,0.03424475851664473,0.12121212121212122
6,0.03213633760800451,0.12121212121212122,0.03213633760800451,0.12121212121212122
7,0.02555522239774416,0.12121212121212122,0.02555522239774416,0.12121212121212122
8,0.031008296979973773,0.15151515151515152,0.031008296979973773,0.15151515151515152
9,0.012632461136732701,0.06060606060606061,0.012632461136732701,0.06060606060606061
10,0.02258518625480127,0.09090909090909091,0.02258518625480127,0.09090909090909091
11,0.012960374462950133,0.030303030303030304,0.012960374462950133,0.030303030303030304
12,0.014380464112071174,0.06060606060606061,0.014380464112071174,0.06060606060606061
13,0.030974160309119057,0.15151515151515152,0.030974160309119057,0.15151515151515152
14,0.015335047733284996,0.06060606060606061,0.015335047733284996,0.06060606060606061
15,0.017966162169598218,0.06060606060606061,0.017966162169598218,0.06060606060606061
16,0.019151734796427684,0.06060606060606061,0.019151734796427684,0.06060606060606061
17,0.012852561307719682,0.06060606060606061,0.012852561307719682,0.06060606060606061
18,0.01274811180981362,0.06060606060606061,0.01274811180981362,0.06060606060606061
19,0.015439253721040984,0.09090909090909091,0.015439253721040984,0.09090909090909091
20,0.014019490515128383,0.06060606060606061,0.014019490515128383,0.06060606060606061
21,0.014123696502884373,0.06060606060606061,0.014123696502884373,0.06060606060606061
22,0.015357136989705922,0.06060606060606061,0.015357136989705922,0.06060606060606061
23,0.03804243472070533,0.15151515151515152,0.03804243472070533,0.15151515151515152
24,0.018638004633548973,0.09090909090909091,0.018638004633548973,0.09090909090909091
25,0.02808618095365787,0.09090909090909091,0.02808618095365787,0.09090909090909091
26,0.017627082529023667,0.06060606060606061,0.017627082529023667,0.06060606060606061
27,0.027104640049433824,0.12121212121212122,0.027104640049433824,0.12121212121212122
28,0.016437478163899042,0.09090909090909091,0.016437478163899042,0.09090909090909091
29,0.02865830763838729,0.12121212121212122,0.02865830763838729,0.12121212121212122
30,0.023023188987365918,0.12121212121212122,0.023023188987365918,0.12121212121212122
31,0.039411428245283535,0.18181818181818182,0.039411428245283535,0.18181818181818182
32,0.0702130414032929,0.36363636363636365,0.0702130414032929,0.36363636363636365
33,0.09020583398599427,0.5151515151515151,0.09020583398599427,0.5151515151515151
